"Year","Month","Copper_Open","Copper_High","Copper_Low","Copper_Price"
1997,"(0.5, -0.866)",0.0778,0.0726,0.369,0.0807
1997,"(0.866, -0.5)",0.0803,0.0596,0.3661,0.0756
1997,"(1.0, 0.0)",0.0794,0.0745,0.3716,0.0771
1997,"(0.866, 0.5)",0.1086,0.0877,0.3741,0.0762
1997,"(0.5, 0.866)",0.1223,0.1049,0.3949,0.106
1996,"(-0.0, 1.0)",0.1071,0.1053,0.392,0.1196
1996,"(-0.5, 0.866)",0.1017,0.0916,0.3878,0.1029
1996,"(-0.866, 0.5)",0.1087,0.1001,0.3917,0.0998
1996,"(-1.0, -0.0)",0.1033,0.0945,0.3901,0.1077
1996,"(-0.866, -0.5)",0.0802,0.0797,0.3741,0.0913
1996,"(-0.5, -0.866)",0.0845,0.0737,0.3724,0.0772
1996,"(0.0, -1.0)",0.0753,0.0711,0.3692,0.081
1996,"(0.5, -0.866)",0.0841,0.0763,0.3702,0.0721
1996,"(0.866, -0.5)",0.0878,0.0971,0.3797,0.0832
1996,"(1.0, 0.0)",0.0737,0.0964,0.365,0.0853
1996,"(0.866, 0.5)",0.0597,0.0771,0.3566,0.0704
1996,"(0.5, 0.866)",0.0735,0.0587,0.3545,0.0565
1995,"(-0.0, 1.0)",0.0632,0.0535,0.3613,0.0705
1995,"(-0.5, 0.866)",0.0591,0.0463,0.3569,0.0599
1995,"(-0.866, 0.5)",0.0582,0.0381,0.3528,0.0557
1995,"(-1.0, -0.0)",0.061,0.048,0.3547,0.0549
1995,"(-0.866, -0.5)",0.0584,0.0449,0.3559,0.0573
1995,"(-0.5, -0.866)",0.055,0.0379,0.3515,0.0551
1995,"(0.0, -1.0)",0.0685,0.0498,0.3552,0.0539
1995,"(0.5, -0.866)",0.0809,0.0608,0.3629,0.0654
1995,"(0.866, -0.5)",0.0704,0.0609,0.3657,0.0769
1995,"(1.0, 0.0)",0.0658,0.05,0.359,0.0675
1995,"(0.866, 0.5)",0.0647,0.0472,0.361,0.0623
1995,"(0.5, 0.866)",0.0591,0.0463,0.3556,0.0615
1994,"(-0.0, 1.0)",0.0624,0.0408,0.3504,0.0566
1994,"(-0.5, 0.866)",0.0632,0.0488,0.3555,0.0589
1994,"(-0.866, 0.5)",0.0648,0.0452,0.3527,0.06
1994,"(-1.0, -0.0)",0.0582,0.0431,0.3511,0.0615
1994,"(-0.866, -0.5)",0.0791,0.0621,0.3524,0.0551
1994,"(-0.5, -0.866)",0.072,0.0603,0.3666,0.0762
1994,"(0.0, -1.0)",0.0643,0.0619,0.3576,0.0691
1994,"(0.5, -0.866)",0.0527,0.0474,0.3524,0.0609
