"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/1996","8.3301","8.3301","8.3301","8.3301","","-0.04%"
"03/01/1996","8.3338","8.3338","8.3338","8.3338","","0.15%"
"02/01/1996","8.3211","8.3211","8.3211","8.3211","","0.09%"
"01/01/1996","8.3138","8.3138","8.3138","8.3138","","-0.04%"
"12/01/1995","8.3174","8.3174","8.3174","8.3174","","0.07%"
"11/01/1995","8.3116","8.3116","8.3116","8.3116","","-0.04%"
"10/01/1995","8.3149","8.3149","8.3149","8.3149","","-0.04%"
"09/01/1995","8.3185","8.3185","8.3185","8.3185","","-0.02%"
"08/01/1995","8.3198","8.3198","8.3198","8.3198","","0.23%"
"07/01/1995","8.3003","8.3003","8.3003","8.3003","","-0.01%"
"06/01/1995","8.3011","8.3011","8.3011","8.3011","","-0.05%"
"05/01/1995","8.3055","8.3055","8.3055","8.3055","","-1.21%"
"04/01/1995","8.4074","8.4074","8.4074","8.4074","","-0.23%"
"03/01/1995","8.4264","8.4264","8.4264","8.4264","","-0.06%"
"02/01/1995","8.4311","8.4311","8.4311","8.4311","","-0.09%"
"01/01/1995","8.4384","8.4384","8.4384","8.4384","","-0.09%"
"12/01/1994","8.4462","8.4462","8.4462","8.4462","","-0.74%"
"11/01/1994","8.5090","8.5090","8.5090","8.5090","","-0.20%"
"10/01/1994","8.5260","8.5260","8.5260","8.5260","","-0.05%"
"09/01/1994","8.5300","8.5300","8.5300","8.5300","","-0.34%"
"08/01/1994","8.5591","8.5591","8.5591","8.5591","","-0.70%"
"07/01/1994","8.6197","8.6197","8.6197","8.6197","","-0.37%"
"06/01/1994","8.6517","8.6517","8.6517","8.6517","","-0.09%"
"05/01/1994","8.6596","8.6596","8.6596","8.6596","","-0.55%"
"04/01/1994","8.7072","8.7072","8.7072","8.7072","","-0.01%"
"03/01/1994","8.7080","8.7080","8.7080","8.7080","","0.03%"
"02/01/1994","8.7055","8.7055","8.7055","8.7055","","0.06%"
"01/01/1994","8.7000","8.7000","8.7000","8.7000","","50.00%"
"12/01/1993","5.8000","5.8000","5.8000","5.8000","","-0.21%"
"11/01/1993","5.8122","5.8122","5.8122","5.8122","","0.31%"
"10/01/1993","5.7941","5.7941","5.7941","5.7941","","0.13%"
"09/01/1993","5.7868","5.7868","5.7868","5.7868","","-0.03%"
"08/01/1993","5.7883","5.7883","5.7883","5.7883","","0.47%"
"07/01/1993","5.7612","5.7612","5.7612","5.7612","","0.00%"
"06/01/1993","5.7612","5.7612","5.7612","5.7612","","0.56%"
"05/01/1993","5.7290","5.7290","5.7290","5.7290","","0.36%"
"04/01/1993","5.7084","5.7084","5.7084","5.7084","","-0.19%"
"03/01/1993","5.7190","5.7190","5.7190","5.7190","","-0.37%"
"02/01/1993","5.7402","5.7402","5.7402","5.7402","","-0.60%"
"01/01/1993","5.7750","5.7750","5.7750","5.7750","","0.40%"
"12/01/1992","5.7518","5.7518","5.7518","5.7518","","0.56%"
"11/01/1992","5.7198","5.7198","5.7198","5.7198","","3.01%"
"10/01/1992","5.5525","5.5525","5.5525","5.5525","","0.95%"
"09/01/1992","5.5002","5.5002","5.5002","5.5002","","1.73%"
"08/01/1992","5.4064","5.4064","5.4064","5.4064","","-0.25%"
"07/01/1992","5.4200","5.4200","5.4200","5.4200","","-0.77%"
"06/01/1992","5.4621","5.4621","5.4621","5.4621","","-0.53%"
"05/01/1992","5.4911","5.4911","5.4911","5.4911","","-0.34%"
"04/01/1992","5.5101","5.5101","5.5101","5.5101","","0.78%"
"03/01/1992","5.4675","5.4675","5.4675","5.4675","","-0.03%"
"02/01/1992","5.4693","5.4693","5.4693","5.4693","","0.01%"
"01/01/1992","5.4686","5.4686","5.4686","5.4686","","0.38%"
"12/01/1991","5.4478","5.4478","5.4478","5.4478","","0.67%"
